Temperature,Humidity,SquareFootage,Occupancy,RenewableEnergy,Month,Hour,Occupancy,DayOfWeek,Holiday,HVACUsage,LightingUsage,EnergyConsumption
0.06333009718902284,-0.22811101070509276,0.1988646863076867,0.1459103112676436,-1.3571789498983349,0,0,5,2,0,1,0,75.36437339539214
0.9156480366323365,0.9750305674260563,-0.32866735647564327,-1.230602059181823,0.7241263924211528,0,1,1,2,0,1,1,83.40185495035139
1.2354464363694586,1.4968592678658725,0.8471397130102409,-0.8864739665694564,-0.9214078944943397,0,2,2,2,0,0,0,78.27088774061066
-1.6000513224535062,0.5454306682973855,-0.18793422153358105,-1.230602059181823,-0.7183988871705088,0,3,1,2,0,0,1,56.51985048548002
-0.6081015012437638,0.6602108666420643,-1.4099202144656395,1.5224226817171103,-1.3247121011263756,0,4,9,2,0,1,0,70.81173246793318
1.5220802792429873,-0.9645655696417491,1.2428650277978213,0.49003840388001024,0.2649042032925311,0,5,6,2,1,0,0,84.32188519433718
0.060612142487408045,-1.0888040202887654,0.33978828803019356,0.49003840388001024,0.989884997352574,0,6,6,2,1,1,0,76.16579090213895
-0.5799941354937247,-1.5379563472377256,0.4317448069032472,1.1782945891047436,1.3451005536321006,0,7,8,2,1,0,0,74.1319061773031
0.14637348117206644,0.10267936680488049,-0.9112168992855484,0.49003840388001024,-1.4081943611318015,0,8,6,2,0,1,0,78.20623587095885
-0.8990259368133589,-1.455637897534945,0.6755545768449708,-1.230602059181823,1.5223559194082026,0,9,1,2,0,1,0,77.99221370196022
1.0251916598618536,-1.0061170679563445,-0.5661069377220296,-0.8864739665694564,-1.6217517056656758,0,10,2,2,1,0,0,82.27443448386548
-0.5011803963264833,-1.6664231545642232,0.3309765650736755,0.49003840388001024,0.4727278166069095,0,11,6,2,1,1,1,73.27866950427382
0.14535062629453244,0.23661624697045072,-0.8965139747293153,-1.230602059181823,0.7204195222240222,0,12,1,2,1,1,0,84.14477565753458
-1.607196656863307,-0.40309716823103586,1.0188713730087116,-0.8864739665694564,-0.9628798773791482,0,13,2,2,1,0,0,60.0225185622203
